,Date,Prob,Label,Symbol
191,2024-04-17,0.4155548,1,CBOE
192,2024-04-23,0.6454492,-1,MCD
193,2024-05-10,0.5546085,1,EXPE
194,2024-05-03,0.44711685,1,LIN
195,2024-04-09,0.4890542,-1,ACN
196,2024-05-23,0.41056722,1,PPL
197,2024-04-05,0.522462,-1,COO
198,2024-04-29,0.5801438,-1,MCD
199,2024-04-17,0.2468323,1,CME
200,2024-04-08,0.5102837,-1,SJM
201,2024-04-23,0.51482064,-1,AOS
202,2024-04-24,0.49357572,1,AMAT
203,2024-05-01,0.5508295,1,TTWO
204,2024-04-16,0.63764703,1,BLK
205,2024-05-01,0.48206005,-1,GPC
206,2024-04-09,0.5100666,-1,CBOE
207,2024-05-23,0.4773224,1,DHI
208,2024-05-03,0.47060943,-1,DIS
209,2024-05-06,0.52191114,-1,CRM
210,2024-05-02,0.3478215,1,INTU
211,2024-04-03,0.43925172,1,GRMN
212,2024-05-23,0.49038175,-1,STE
213,2024-05-09,0.426334,-1,META
214,2024-03-28,0.49932393,1,FIS
215,2024-04-29,0.616319,1,AES
216,2024-04-19,0.49509382,1,CEG
217,2024-03-28,0.40424773,-1,JBHT
218,2024-05-17,0.51501596,-1,FDS
219,2024-04-03,0.3594207,-1,ULTA
220,2024-04-11,0.34347257,-1,MAA
221,2024-05-07,0.52118653,-1,K
222,2024-05-03,0.5000787,1,UPS
223,2024-05-06,0.4054991,-1,CE
224,2024-04-30,0.5976164,-1,CSGP
225,2024-04-18,0.4427252,1,CSGP
226,2024-05-08,0.5654402,1,ETSY
227,2024-05-03,0.55975866,1,SHW
228,2024-04-24,0.5463311,1,WST
229,2024-05-09,0.52928895,1,ZBRA
230,2024-04-09,0.59999055,-1,BDX
231,2024-05-09,0.49492693,-1,ES
232,2024-05-09,0.51258343,-1,MLM
233,2024-04-15,0.35349885,-1,TTWO
234,2024-05-09,0.37457737,1,AVGO
235,2024-05-13,0.51543295,-1,BWA
236,2024-04-05,0.50026304,-1,PCAR
237,2024-04-24,0.565443,-1,JNPR
238,2024-05-21,0.42233586,-1,DG
239,2024-05-21,0.33234602,1,LLY
240,2024-04-18,0.48811468,1,DIS
241,2024-05-17,0.53252727,-1,CPB
242,2024-04-24,0.6154001,-1,IDXX
243,2024-04-02,0.5411047,-1,MGM
244,2024-04-19,0.3044171,1,CDW
245,2024-04-12,0.49961117,-1,CSCO
246,2024-05-06,0.5066413,-1,ACGL
247,2024-04-22,0.45004597,-1,HIG
248,2024-04-01,0.46624976,1,MPWR
249,2024-05-14,0.42661825,-1,OMC
