raw_symbol,instrument_id,date
SPY,9089,2021-06-16
SPY,9103,2021-06-17
SPY,9113,2021-06-18
SPY,9113,2021-06-19
SPY,9113,2021-06-20
SPY,9115,2021-06-21
SPY,9112,2021-06-22
SPY,9122,2021-06-23
SPY,9130,2021-06-24
SPY,9131,2021-06-25
SPY,9131,2021-06-26
SPY,9131,2021-06-27
SPY,9131,2021-06-28
SPY,9148,2021-06-29
SPY,9152,2021-06-30
SPY,9156,2021-07-01
SPY,9156,2021-07-02
SPY,9156,2021-07-03
SPY,9156,2021-07-04
SPY,9156,2021-07-05
SPY,9161,2021-07-06
SPY,9167,2021-07-07
SPY,9172,2021-07-08
SPY,9185,2021-07-09
SPY,9185,2021-07-10
SPY,9185,2021-07-11
SPY,9183,2021-07-12
SPY,9192,2021-07-13
SPY,9206,2021-07-14
SPY,9208,2021-07-15
SPY,9215,2021-07-16
SPY,9215,2021-07-17
SPY,9215,2021-07-18
SPY,9213,2021-07-19
SPY,9221,2021-07-20
SPY,9226,2021-07-21
SPY,9233,2021-07-22
SPY,9240,2021-07-23
SPY,9240,2021-07-24
SPY,9240,2021-07-25
SPY,9238,2021-07-26
SPY,9246,2021-07-27
SPY,9259,2021-07-28
SPY,9268,2021-07-29
SPY,9280,2021-07-30
SPY,9280,2021-07-31
SPY,9280,2021-08-01
SPY,9280,2021-08-02
SPY,9279,2021-08-03
SPY,9287,2021-08-04
SPY,9297,2021-08-05
SPY,9303,2021-08-06
SPY,9303,2021-08-07
SPY,9303,2021-08-08
SPY,9306,2021-08-09
SPY,9310,2021-08-10
SPY,9314,2021-08-11
SPY,9313,2021-08-12
SPY,9325,2021-08-13
SPY,9325,2021-08-14
SPY,9325,2021-08-15
SPY,9323,2021-08-16
SPY,9326,2021-08-17
SPY,9331,2021-08-18
SPY,9336,2021-08-19
SPY,9335,2021-08-20
SPY,9335,2021-08-21
SPY,9335,2021-08-22
SPY,9338,2021-08-23
SPY,9336,2021-08-24
SPY,9339,2021-08-25
SPY,9345,2021-08-26
SPY,9339,2021-08-27
SPY,9339,2021-08-28
SPY,9339,2021-08-29
SPY,9344,2021-08-30
SPY,9346,2021-08-31
SPY,9351,2021-09-01
SPY,9347,2021-09-02
SPY,9350,2021-09-03
SPY,9350,2021-09-04
SPY,9350,2021-09-05
SPY,9350,2021-09-06
SPY,9350,2021-09-07
SPY,9351,2021-09-08
SPY,9362,2021-09-09
SPY,9362,2021-09-10
SPY,9362,2021-09-11
SPY,9362,2021-09-12
SPY,9367,2021-09-13
SPY,9375,2021-09-14
SPY,9377,2021-09-15
SPY,9385,2021-09-16
SPY,9391,2021-09-17
SPY,9391,2021-09-18
SPY,9391,2021-09-19
SPY,9389,2021-09-20
SPY,9401,2021-09-21
SPY,9409,2021-09-22
SPY,9416,2021-09-23
SPY,9425,2021-09-24
SPY,9425,2021-09-25
SPY,9425,2021-09-26
SPY,9425,2021-09-27
SPY,9439,2021-09-28
SPY,9448,2021-09-29
SPY,9463,2021-09-30
SPY,9473,2021-10-01
SPY,9473,2021-10-02
SPY,9473,2021-10-03
SPY,9479,2021-10-04
SPY,9484,2021-10-05
SPY,9467,2021-10-06
SPY,9480,2021-10-07
SPY,9482,2021-10-08
SPY,9482,2021-10-09
SPY,9482,2021-10-10
SPY,9486,2021-10-11
SPY,9492,2021-10-12
SPY,9495,2021-10-13
SPY,9507,2021-10-14
