ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1540245600000000000,34,2,7312,274900000000,275010000000,274750000000,275010000000,15753,SPY
1540249200000000000,34,2,7312,275000000000,275030000000,274610000000,274610000000,2875,SPY
1540281600000000000,34,2,7317,272000000000,272030000000,271480000000,271660000000,67056,SPY
1540285200000000000,34,2,7317,271630000000,271630000000,270760000000,271630000000,78962,SPY
1540288800000000000,34,2,7317,271640000000,272040000000,271270000000,271770000000,68714,SPY
1540292400000000000,34,2,7317,271800000000,271920000000,270500000000,271300000000,352912,SPY
1540296000000000000,34,2,7317,271280000000,271520000000,270820000000,271220000000,360952,SPY
1540299600000000000,34,2,7317,271200000000,271720000000,270300000000,270650000000,3899820,SPY
1540303200000000000,34,2,7317,270650000000,270880000000,268620000000,269950000000,6037660,SPY
1540306800000000000,34,2,7317,269940000000,271100000000,269480000000,269580000000,3266015,SPY
1540310400000000000,34,2,7317,269580000000,271850000000,269560000000,271310000000,2776014,SPY
1540314000000000000,34,2,7317,271310000000,273015000000,271220000000,271670000000,3661713,SPY
1540317600000000000,34,2,7317,271670000000,274580000000,271660000000,274320000000,3711232,SPY
1540321200000000000,34,2,7317,274310000000,274860000000,273275000000,273520000000,5103866,SPY
1540324800000000000,34,2,7317,273530000000,274120000000,273350000000,273970000000,688505,SPY
1540328400000000000,34,2,7317,273950000000,273960000000,273780000000,273810000000,27320,SPY
1540332000000000000,34,2,7317,273870000000,274070000000,273550000000,273550000000,85956,SPY
1540335600000000000,34,2,7317,273660000000,274100000000,273610000000,273990000000,30407,SPY
1540368000000000000,34,2,7316,272090000000,272370000000,271420000000,271470000000,54255,SPY
1540371600000000000,34,2,7316,271460000000,272300000000,271410000000,272250000000,49409,SPY
1540375200000000000,34,2,7316,272280000000,272650000000,272150000000,272650000000,84978,SPY
1540378800000000000,34,2,7316,272660000000,273980000000,272510000000,273960000000,278663,SPY
1540382400000000000,34,2,7316,273930000000,274100000000,273400000000,273680000000,222274,SPY
1540386000000000000,34,2,7316,273650000000,273760000000,272550000000,272790000000,1559009,SPY
1540389600000000000,34,2,7316,272780000000,273120000000,271490000000,271520000000,3194074,SPY
1540393200000000000,34,2,7316,271540000000,272270000000,269820000000,272000000000,5303551,SPY
1540396800000000000,34,2,7316,272000000000,272160000000,270310000000,271010000000,2351394,SPY
1540400400000000000,34,2,7316,271010000000,271010000000,269170000000,269490000000,3132132,SPY
1540404000000000000,34,2,7316,269480000000,270600000000,268710000000,269200000000,4334022,SPY
1540407600000000000,34,2,7316,269215000000,269215000000,264700000000,265220000000,10422908,SPY
1540411200000000000,34,2,7316,265220000000,266900000000,265080000000,266880000000,2084073,SPY
1540414800000000000,34,2,7316,266860000000,266860000000,266460000000,266790000000,156218,SPY
1540418400000000000,34,2,7316,266780000000,266780000000,266000000000,266620000000,98740,SPY
1540422000000000000,34,2,7316,266650000000,266740000000,265310000000,265690000000,49526,SPY
1540454400000000000,34,2,7317,267630000000,267750000000,267210000000,267610000000,79231,SPY
1540458000000000000,34,2,7317,267690000000,268670000000,267590000000,268570000000,96059,SPY
1540461600000000000,34,2,7317,268650000000,268650000000,267610000000,268060000000,101916,SPY
1540465200000000000,34,2,7317,268010000000,268190000000,267340000000,267490000000,235478,SPY
1540468800000000000,34,2,7317,267640000000,268130000000,267010000000,267310000000,389409,SPY
1540472400000000000,34,2,7317,267240000000,268300000000,266230000000,268100000000,3186669,SPY
1540476000000000000,34,2,7317,268090000000,269440000000,267770000000,268670000000,4306684,SPY
1540479600000000000,34,2,7317,268660000000,270100000000,267940000000,269440000000,3002081,SPY
1540483200000000000,34,2,7317,269440000000,269800000000,268660000000,269580000000,1981618,SPY
1540486800000000000,34,2,7317,269580000000,270270000000,268750000000,269810000000,1876423,SPY
