,Date,Prob,Label
157,2022-03-15,0.55602926,1
158,2020-09-22,0.50141335,1
159,2021-02-26,0.52210224,-1
160,2020-04-01,0.5271604,1
161,2023-08-21,0.5428696,1
162,2016-01-04,0.6058285,-1
163,2023-10-27,0.5827334,1
164,2016-02-08,0.57624507,1
165,2018-10-24,0.44439125,1
166,2017-06-08,0.4933717,1
167,2016-06-08,0.5703645,-1
168,2018-11-09,0.5050071,-1
169,2020-05-06,0.5143732,-1
170,2022-02-25,0.5021207,-1
171,2016-09-20,0.42102224,1
172,2017-07-13,0.49990633,1
173,2019-10-25,0.51450336,1
174,2020-01-23,0.48065633,-1
175,2015-09-02,0.4527614,1
176,2022-03-31,0.55079633,-1
177,2019-07-16,0.5182462,1
178,2019-08-01,0.48687464,-1
179,2018-04-02,0.49485672,1
180,2017-02-07,0.45546266,1
181,2016-09-01,0.4800548,-1
182,2020-09-03,0.4492011,-1
183,2022-08-18,0.50603366,-1
184,2018-08-16,0.5032215,1
185,2020-12-16,0.50289637,-1
186,2017-11-28,0.5315667,1
187,2019-06-11,0.54253346,1
